code	name	population
05066	Cuevas del Valle	475
05067	Chamartín	74
05069	Donjimeno	77
05070	Donvidas	30
05072	Espinosa de los Caballeros	112
05073	Flores de Ávila	295
05074	Fontiveros	749
05075	Fresnedilla	107
05076	Fresno, El	582
05077	Fuente el Saúz	159
05078	Fuentes de Año	95
05079	Gallegos de Altamiros	66
05080	Gallegos de Sobrinos	40
05081	Garganta del Villar	39
05082	Gavilanes	563
05083	Gemuño	152
05084	Gilbuena	60
05085	Gil García	38
05086	Gimialcón	75
05087	Gotarrendura	170
05088	Grandes y San Martín	25
05089	Guisando	510
05090	Gutierre-Muñoz	75
05092	Hernansancho	155
05093	Herradón de Pinares	419
05094	Herreros de Suso	129
05095	Higuera de las Dueñas	260
05096	Hija de Dios, La	75
05097	Horcajada, La	486
05099	Horcajo de las Torres	496
05100	Hornillo, El	277
05101	Hoyocasero	281
05102	Hoyo de Pinares, El	2129
05103	Hoyorredondo	61
05104	Hoyos del Collado	33
05105	Hoyos del Espino	368
05106	Hoyos de Miguel Muñoz	27
05107	Hurtumpascual	48
05108	Junciana	35
05109	Langa	480
05110	Lanzahíta	811
05112	Losar del Barco, El	107
05113	Llanos de Tormes, Los	60
05114	Madrigal de las Altas Torres	1399
05115	Maello	590
05116	Malpartida de Corneja	96
05117	Mamblas	200
05118	Mancera de Arriba	69
05119	Manjabálago y Ortigosa de Rioalmar	24
05120	Marlín	32
05121	Martiherrero	314
05122	Martínez	113
05123	Mediana de Voltoya	114
05124	Medinilla	91
05125	Mengamuñoz	61
05126	Mesegar de Corneja	57
05127	Mijares	694
05128	Mingorría	373
05129	Mirón, El	118
05130	Mironcillo	106
05131	Mirueña de los Infanzones	94
05132	Mombeltrán	942
05133	Monsalupe	62
05134	Moraleja de Matacabras	49
05135	Muñana	371
05136	Muñico	86
05138	Muñogalindo	326
05139	Muñogrande	70
05140	Muñomer del Peco	109
05141	Muñopepe	101
05142	Muñosancho	91
05143	Muñotello	58
05144	Narrillos del Álamo	72
05145	Narrillos del Rebollar	43
05147	Narros del Castillo	151
05148	Narros del Puerto	23
05149	Narros de Saldueña	106
05151	Navacepedilla de Corneja	94
05152	Nava de Arévalo	718
05153	Nava del Barco	79
05154	Navadijos	31
05155	Navaescurial	45
05156	Navahondilla	321
05157	Navalacruz	226
05158	Navalmoral	338
05159	Navalonguilla	216
05160	Navalosa	300
05161	Navalperal de Pinares	757
05162	Navalperal de Tormes	81
05163	Navaluenga	2018
05164	Navaquesera	16
05165	Navarredonda de Gredos	430
05166	Navarredondilla	177
05167	Navarrevisca	256
05168	Navas del Marqués, Las	5146
05169	Navatalgordo	231
05170	Navatejares	51
05171	Neila de San Miguel	67
05172	Niharra	202
05173	Ojos-Albos	76
05174	Orbita	69
05175	Oso, El	158
05176	Padiernos	273
05177	Pajares de Adaja	138
05178	Palacios de Goda	389
05179	Papatrigo	227
05180	Parral, El	62
05181	Pascualcobo	43
05182	Pedro Bernardo	787
05183	Pedro-Rodríguez	133
05184	Peguerinos	275
05185	Peñalba de Ávila	105
05186	Piedrahíta	1802
05187	Piedralaves	2070
05188	Poveda	39
05189	Poyales del Hoyo	458
05190	Pozanco	53
05191	Pradosegar	109
05192	Puerto Castilla	107
05193	Rasueros	174
05194	Riocabado	137
05195	Riofrío	203
05196	Rivilla de Barajas	67
05197	Salobral	112
05198	Salvadiós	69
05199	San Bartolomé de Béjar	39
05200	San Bartolomé de Corneja	44
05201	San Bartolomé de Pinares	534
05204	Sanchidrián	714
05205	Sanchorreja	83
05206	San Esteban de los Patos	23
05207	San Esteban del Valle	718
05208	San Esteban de Zapardiel	40
05209	San García de Ingelmos	75
05210	San Juan de la Encinilla	80
05211	San Juan de la Nava	459
05212	San Juan del Molinillo	196
05213	San Juan del Olmo	90
05214	San Lorenzo de Tormes	27
05215	San Martín de la Vega del Alberche	166
05216	San Martín del Pimpollar	186
05217	San Miguel de Corneja	53
05218	San Miguel de Serrezuela	115
05219	San Pascual	39
05220	San Pedro del Arroyo	422
05221	Santa Cruz del Valle	332
05222	Santa Cruz de Pinares	148
05224	Santa María del Arroyo	105
05225	Santa María del Berrocal	388
05226	Santa María de los Caballeros	63
05227	Santa María del Tiétar	447
05228	Santiago del Collado	170
05229	Santo Domingo de las Posadas	69
05230	Santo Tomé de Zabarcos	67
05231	San Vicente de Arévalo	170
05232	Serrada, La	118
05233	Serranillos	243
05234	Sigeres	45
05235	Sinlabajos	143
05236	Solana de Ávila	110
05237	Solana de Rioalmar	151
05238	Solosancho	820
05239	Sotalbo	232
05240	Sotillo de la Adrada	4653
05241	Tiemblo, El	4180
05242	Tiñosillos	775
05243	Tolbaños	78
05244	Tormellas	37
05245	Tornadizos de Ávila	418
05246	Tórtoles	46
05247	Torre, La	230
05249	Umbrías	96
05251	Vadillo de la Sierra	54
05252	Valdecasa	59
05253	Vega de Santa María	77
05254	Velayos	214
05256	Villaflor	111
05257	Villafranca de la Sierra	129
05258	Villanueva de Gómez	115
05259	Villanueva del Aceral	109
05260	Villanueva del Campillo	101
05261	Villar de Corneja	35
05262	Villarejo del Valle	328
05263	Villatoro	157
05264	Viñegra de Moraña	53
05265	Vita	83
05266	Zapardiel de la Cañada	91
05267	Zapardiel de la Ribera	107
05901	San Juan de Gredos	247
05902	Santa María del Cubillo	303
05903	Diego del Carpio	126
05904	Santiago del Tormes	114
